               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052332,            0.057614,            0.056684,             0.63843,             0.52498,             0.54777,             0.36481,            0.031355,            0.010012,            0.031557,            0.070012,            0.003332,            0.003332
                   1,            0.041893,            0.053175,            0.028688,             0.70402,             0.68937,             0.72501,             0.51677,            0.028973,           0.0096967,            0.016785,             0.03988,           0.0065334,           0.0065334
                   2,            0.040268,            0.053327,            0.025952,             0.62415,              0.6777,             0.68286,             0.48109,            0.030156,            0.010374,            0.018219,           0.0096158,           0.0096027,           0.0096027
                   3,            0.039096,            0.053814,            0.025056,              0.6787,             0.71453,             0.74149,             0.53906,             0.02846,           0.0097126,            0.016732,            0.009406,            0.009406,            0.009406
                   4,            0.037346,            0.052447,            0.022123,             0.71202,             0.73519,             0.76809,             0.55868,            0.027485,           0.0095461,            0.012708,            0.009406,            0.009406,            0.009406
                   5,            0.036147,            0.051318,            0.020242,             0.71384,             0.75515,             0.77653,             0.57228,            0.026161,           0.0094452,            0.012552,            0.009208,            0.009208,            0.009208
                   6,            0.035611,            0.050875,            0.019078,              0.7078,             0.78608,             0.78566,             0.58431,            0.026008,           0.0095136,            0.010717,             0.00901,             0.00901,             0.00901
                   7,            0.034795,            0.050041,            0.017848,             0.74356,             0.76675,             0.79836,             0.59832,            0.025567,            0.009298,            0.009692,            0.008812,            0.008812,            0.008812
                   8,            0.034352,            0.049622,            0.017215,             0.73939,             0.78652,             0.79911,             0.60665,            0.024914,           0.0093773,           0.0081574,            0.008614,            0.008614,            0.008614
                   9,            0.033998,            0.049235,            0.016576,             0.72173,             0.79636,              0.8053,              0.6126,            0.024826,           0.0091839,           0.0082563,            0.008416,            0.008416,            0.008416
                  10,             0.03364,            0.048704,             0.01591,             0.73968,             0.80309,             0.81477,              0.6215,              0.0244,           0.0089784,           0.0079526,            0.008218,            0.008218,            0.008218
                  11,            0.033324,            0.048284,            0.015489,             0.75022,             0.79813,             0.81663,             0.62444,            0.024009,           0.0089086,           0.0070796,             0.00802,             0.00802,             0.00802
                  12,               0.033,            0.047666,            0.015119,             0.74787,             0.81052,             0.81375,             0.62632,            0.023622,           0.0089561,           0.0075415,            0.007822,            0.007822,            0.007822
                  13,            0.032787,            0.047775,            0.014757,             0.74684,             0.82577,             0.82828,             0.63539,            0.023519,           0.0088007,            0.006253,            0.007624,            0.007624,            0.007624
                  14,            0.032644,            0.047548,            0.014341,             0.75902,             0.82246,             0.83307,             0.64565,            0.023415,            0.008731,           0.0062544,            0.007426,            0.007426,            0.007426
                  15,            0.032372,            0.047185,            0.014138,             0.76637,             0.81037,             0.82929,             0.64504,            0.023243,           0.0087427,             0.00697,            0.007228,            0.007228,            0.007228
                  16,            0.032242,            0.046841,            0.013774,             0.76997,             0.81309,             0.83574,             0.64665,            0.022803,           0.0086315,           0.0060857,             0.00703,             0.00703,             0.00703
                  17,            0.031988,            0.046581,            0.013467,              0.7693,             0.82787,             0.83941,             0.65239,            0.022694,           0.0086601,           0.0048286,            0.006832,            0.006832,            0.006832
                  18,            0.031862,             0.04627,            0.013318,             0.78138,             0.83464,             0.84058,             0.65365,            0.022768,           0.0086123,           0.0046516,            0.006634,            0.006634,            0.006634
                  19,            0.031596,            0.046232,            0.013161,             0.77533,             0.82631,              0.8395,             0.65218,            0.022625,           0.0085768,           0.0049591,            0.006436,            0.006436,            0.006436
                  20,            0.031447,            0.045996,            0.012879,             0.77069,             0.83784,             0.83829,              0.6525,            0.022541,           0.0085593,           0.0047386,            0.006238,            0.006238,            0.006238
                  21,            0.031311,            0.045715,            0.012653,               0.776,              0.8352,             0.83979,             0.65153,            0.022502,           0.0085656,           0.0044981,             0.00604,             0.00604,             0.00604
                  22,            0.031218,            0.045808,            0.012375,             0.77792,             0.83522,             0.84094,             0.65275,            0.022441,           0.0085649,           0.0045092,            0.005842,            0.005842,            0.005842
                  23,            0.030918,            0.045117,            0.012274,             0.77947,             0.83283,             0.84157,             0.65366,            0.022423,           0.0085537,           0.0044232,            0.005644,            0.005644,            0.005644
                  24,             0.03095,            0.045374,            0.012178,             0.79254,             0.82719,             0.84151,             0.65496,            0.022381,           0.0085503,           0.0045375,            0.005446,            0.005446,            0.005446
                  25,            0.030748,            0.045067,            0.011665,             0.78708,              0.8282,             0.84134,             0.65601,            0.022349,            0.008552,           0.0045534,            0.005248,            0.005248,            0.005248
                  26,             0.03053,            0.044746,            0.011642,             0.78038,             0.83193,             0.84104,             0.65601,            0.022327,           0.0085374,            0.004534,             0.00505,             0.00505,             0.00505
                  27,            0.030194,            0.044411,            0.011449,             0.78135,             0.83418,             0.84149,             0.65609,            0.022297,           0.0085301,           0.0044537,            0.004852,            0.004852,            0.004852
                  28,            0.030118,            0.044536,            0.011232,             0.78097,             0.83043,             0.84243,             0.65781,            0.022253,           0.0085151,            0.004425,            0.004654,            0.004654,            0.004654
                  29,             0.02999,            0.044423,              0.0112,             0.78512,             0.82583,             0.84355,             0.65829,            0.022216,           0.0084912,           0.0043525,            0.004456,            0.004456,            0.004456
                  30,            0.029837,            0.043599,            0.010857,             0.78972,             0.82395,             0.84409,             0.65859,            0.022193,           0.0084799,           0.0042653,            0.004258,            0.004258,            0.004258
                  31,            0.029664,            0.043736,            0.010645,             0.78628,             0.82572,             0.84549,             0.65967,            0.022152,           0.0084728,           0.0042119,             0.00406,             0.00406,             0.00406
                  32,            0.029564,            0.043221,            0.010572,             0.78595,             0.82903,             0.84653,             0.66037,            0.022105,           0.0084578,           0.0041314,            0.003862,            0.003862,            0.003862
                  33,            0.029288,            0.043412,            0.010286,             0.79296,             0.82655,             0.84725,             0.66115,             0.02207,           0.0084443,            0.003995,            0.003664,            0.003664,            0.003664
                  34,            0.029184,            0.043123,            0.010172,             0.79077,             0.83174,              0.8474,             0.66133,            0.022027,           0.0084311,           0.0039154,            0.003466,            0.003466,            0.003466
                  35,             0.02898,             0.04285,            0.010031,             0.79685,              0.8292,             0.84866,             0.66216,            0.021975,           0.0084102,           0.0038148,            0.003268,            0.003268,            0.003268
                  36,            0.028744,            0.042526,           0.0098566,             0.79718,             0.82887,             0.84953,             0.66285,            0.021931,           0.0083925,           0.0037226,             0.00307,             0.00307,             0.00307
                  37,            0.028655,            0.042309,           0.0095447,             0.79839,              0.8318,             0.84957,             0.66384,            0.021895,           0.0083769,           0.0036448,            0.002872,            0.002872,            0.002872
                  38,            0.028387,            0.042064,           0.0095801,             0.79854,             0.83215,             0.85019,             0.66445,             0.02187,           0.0083576,           0.0035236,            0.002674,            0.002674,            0.002674
                  39,            0.028227,            0.042029,            0.009142,             0.80049,              0.8305,             0.85105,              0.6651,            0.021834,           0.0083327,           0.0034296,            0.002476,            0.002476,            0.002476
                  40,            0.028056,            0.041679,           0.0090679,               0.802,             0.82809,              0.8519,             0.66626,            0.021796,           0.0083076,             0.00334,            0.002278,            0.002278,            0.002278
                  41,            0.027921,            0.041352,           0.0089562,             0.80635,             0.82696,             0.85268,              0.6661,             0.02175,           0.0082828,           0.0032807,             0.00208,             0.00208,             0.00208
                  42,            0.027709,            0.041366,           0.0087498,             0.80147,              0.8324,             0.85436,             0.66791,            0.021698,           0.0082611,           0.0032058,            0.001882,            0.001882,            0.001882
                  43,            0.027379,            0.040722,            0.008428,             0.80268,             0.83324,             0.85503,             0.66902,            0.021657,           0.0082323,           0.0031258,            0.001684,            0.001684,            0.001684
                  44,            0.027163,            0.040451,            0.008342,              0.8046,             0.83354,             0.85616,             0.67038,            0.021623,           0.0082091,           0.0030446,            0.001486,            0.001486,            0.001486
                  45,            0.026858,            0.040088,           0.0080698,             0.80831,             0.83355,             0.85717,             0.67153,            0.021583,           0.0081854,           0.0029495,            0.001288,            0.001288,            0.001288
                  46,            0.026775,            0.039851,           0.0079706,             0.80695,             0.83814,             0.85802,             0.67294,             0.02155,           0.0081644,           0.0028544,             0.00109,             0.00109,             0.00109
                  47,            0.026409,            0.039458,            0.007633,             0.81023,             0.84131,             0.85978,             0.67421,            0.021514,            0.008142,           0.0027739,            0.000892,            0.000892,            0.000892
                  48,            0.026279,            0.039466,           0.0073527,             0.81186,             0.83996,              0.8601,             0.67567,            0.021473,           0.0081171,           0.0026978,            0.000694,            0.000694,            0.000694
                  49,            0.025898,            0.038592,           0.0073495,             0.81257,             0.84114,             0.86102,             0.67658,            0.021436,           0.0080897,           0.0026292,            0.000496,            0.000496,            0.000496
